,debtorcode,category,projno,month_year
0,All,All,All,2020-12
1,All,All,UL,2020-12
2,All,All,AC,2020-12
3,300ABD003,All,UL,2020-12
4,300ABD004,All,UL,2020-12
5,300ADI002,All,UL,2020-12
6,300ADI003,All,UL,2020-12
7,300AHB001,All,UL,2020-12
8,300AIK001,All,UL,2020-12
9,300ALR001,All,UL,2020-12
10,300AMB001,All,UL,2020-12
11,300AMS002,All,UL,2020-12
12,300AMW002,All,UL,2020-12
13,300ANG001,All,UL,2020-12
14,300ANG002,All,UL,2020-12
15,300ANR001,All,UL,2020-12
16,300ANZ001,All,UL,2020-12
17,300ARA001,All,UL,2020-12
18,300ARA002,All,UL,2020-12
19,300ASR001,All,UL,2020-12
20,300ATY001,All,UL,2020-12
21,300AWA003,All,UL,2020-12
22,300AWA006,All,UL,2020-12
23,300AZA002,All,UL,2020-12
24,300AZM002,All,UL,2020-12
25,300BAR001,All,UL,2020-12
26,300BAW001,All,UL,2020-12
27,300BER001,All,UL,2020-12
28,300BES001,All,UL,2020-12
29,300BIN001,All,UL,2020-12
30,300BON001,All,UL,2020-12
31,300BOO001,All,UL,2020-12
32,300BOO002,All,UL,2020-12
33,300BOR001,All,UL,2020-12
34,300BUS001,All,UL,2020-12
35,300CAR001,All,UL,2020-12
36,300CAS002,All,UL,2020-12
37,300CAS003,All,UL,2020-12
38,300CAS004,All,UL,2020-12
39,300CAS005,All,UL,2020-12
40,300CEK001,All,UL,2020-12
41,300CER006,All,UL,2020-12
42,300CHA001,All,UL,2020-12
43,300CHA002,All,UL,2020-12
44,300CHA003,All,UL,2020-12
45,300CHE001,All,UL,2020-12
46,300CHE002,All,UL,2020-12
47,300CHE003,All,UL,2020-12
48,300CHE005,All,UL,2020-12
49,300CHE007,All,UL,2020-12
50,300CHE008,All,UL,2020-12
51,300CHH001,All,UL,2020-12
52,300CHI002,All,UL,2020-12
53,300CHI004,All,UL,2020-12
54,300CHI005,All,UL,2020-12
55,300CHI006,All,UL,2020-12
56,300CHU001,All,UL,2020-12
57,300CHU002,All,UL,2020-12
58,300CMS002,All,UL,2020-12
59,300COM001,All,UL,2020-12
60,300CON001,All,UL,2020-12
61,300CPT001,All,UL,2020-12
62,300CSP001,All,UL,2020-12
63,300DES001,All,UL,2020-12
64,300DIN001,All,UL,2020-12
65,300DIN004,All,UL,2020-12
66,300DRI001,All,UL,2020-12
67,300DUH001,All,UL,2020-12
68,300DUR001,All,UL,2020-12
69,300DZU002,All,UL,2020-12
70,300ENG004,All,UL,2020-12
71,300ERA001,All,UL,2020-12
72,300ESH001,All,UL,2020-12
73,300FAM001,All,UL,2020-12
74,300FAR001,All,UL,2020-12
75,300FAZ001,All,UL,2020-12
76,300GEM002,All,UL,2020-12
77,300GIA003,All,UL,2020-12
78,300GIA005,All,UL,2020-12
79,300GLM001,All,UL,2020-12
80,300GOH002,All,UL,2020-12
81,300GOH003,All,UL,2020-12
82,300GOO001,All,UL,2020-12
83,300GRE001,All,UL,2020-12
84,300GUA001,All,UL,2020-12
85,300HAF001,All,UL,2020-12
86,300HAI001,All,UL,2020-12
87,300HAJ001,All,UL,2020-12
88,300HAS001,All,UL,2020-12
89,300HAS006,All,UL,2020-12
90,300HCM001,All,UL,2020-12
91,300HID001,All,UL,2020-12
92,300HIN001,All,UL,2020-12
93,300HOC004,All,UL,2020-12
94,300HUP001,All,UL,2020-12
95,300HUW001,All,UL,2020-12
96,300IKH001,All,UL,2020-12
97,300INT001,All,UL,2020-12
98,300ISH002,All,UL,2020-12
99,300ISH003,All,UL,2020-12
100,300ISH004,All,UL,2020-12
101,300ISM005,All,UL,2020-12
102,300JEE001,All,UL,2020-12
103,300JER001,All,UL,2020-12
104,300JLS001,All,UL,2020-12
105,300JOH002,All,UL,2020-12
